name,mcc,service_line,segment,service_offering,contract_type,planned_cost,actual_cost,planned_effort,actual_effort,resource_count,start_date,end_date,tech_stack,status,baseline_rpp,latest_rpp,dollar_impact,project_margin_baseline,project_margin_latest,onsite_mix_pct
NTTRTRBLCIS,NTTLTMST,CIS,CMT,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2024-12-01,2027-03-31,CIS,Underrun,,,0.0,0.0,0.0,
PGAEDSPZDX,ABBMST,DX,COREMFG,Non Maintenance,FP,31576.6,31576.6,7.0,12.45,1,2024-04-15,2025-04-27,DX,Overrun,4510.94,2536.27,5758.6,0.866,0.578,0.0
PGAEDSPZMFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,187953.4,214218.4,56.66,63.61,9,2024-04-15,2025-04-27,ADM,Overrun,3317.21,3367.68,15507.19,0.667,0.629,0.0
PGAQLPZ2BPOSERV,ABBMST,BPOSERV,COREMFG,Maintenance,FP,6370.0,52714.0,8.84,18.88,1,2024-07-01,2029-05-31,BPOSERV,Underrun,720.59,2792.06,-33907.43,0.013,0.754,0.0
PGAQLPZ2CIS,ABBMST,CIS,COREMFG,Maintenance,FP,0.0,32000.0,8.0,7.71,1,2024-07-01,2029-05-31,CIS,Underrun,0.0,4150.45,-1905728.45,0.0,0.848,0.0
PGAQLPZ2CRLADM,ABBMST,ADM,COREMFG,Maintenance,FP,0.0,24390.08,3.6,8.6,1,2024-07-01,2029-05-31,ADM,Underrun,0.0,2836.06,-541119.21,0.0,0.859,0.0
PGAQLPZ2DNA,ABBMST,DNA,COREMFG,Maintenance,FP,0.0,121149.26,0.0,33.08,1,2024-07-01,2029-05-31,DNA,Overrun,,3662.31,41284.83,0.0,0.657,
PGAQLPZ2DX,ABBMST,DX,COREMFG,Maintenance,FP,50000.0,14695561.24,3475.41,3450.3,579,2024-07-01,2029-05-31,DX,Underrun,14.39,4259.21,-1452864965.98,-119.446,0.581,0.12
PGAQLPZ2EAISDLY,ABBMST,EAS,COREMFG,Maintenance,FP,1473317.85,4548382.37,1062.11,1148.74,177,2024-07-01,2029-05-31,EAS,Underrun,1387.16,3959.45,-3329206.56,-0.161,0.617,0.05
PGAQLPZ2ENGCDPE,ABBMST,ENG,COREMFG,Maintenance,FP,0.0,5537683.0,1133.25,1111.97,189,2024-07-01,2029-05-31,ENG,Underrun,0.0,4980.07,-4745950916.93,0.0,0.636,0.1
PGAQLPZ2ESAP,ABBMST,EAS,COREMFG,Maintenance,FP,0.0,4996526.61,809.71,1603.29,135,2024-07-01,2029-05-31,EAS,Underrun,0.0,3116.42,-2331516331.2,0.0,0.538,0.0
PGAQLPZ2IGC,ABBMST,IGC,COREMFG,Maintenance,FP,0.0,114916.03,8.75,8.74,1,2024-07-01,2029-05-31,IGC,Underrun,0.0,13148.29,-22976672.08,0.0,0.851,0.0
PGAQLPZ2IQE,ABBMST,IQE,COREMFG,Maintenance,FP,0.0,16564.63,77.0,77.42,13,2024-07-01,2029-05-31,IQE,Underrun,0.0,213.96,-12543393.7,0.0,,0.0
PGAQLPZ2MFGADM,ABBMST,ADM,COREMFG,Maintenance,FP,69367193.88,38242067.0,7291.86,7082.53,1215,2024-07-01,2029-05-31,ADM,Overrun,9512.96,5399.49,6036737.37,0.733,0.581,0.17
PGAQLPZ2ORCDLY,ABBMST,EAS,COREMFG,Maintenance,FP,0.0,2658999.36,851.06,849.25,142,2024-07-01,2029-05-31,EAS,Underrun,0.0,3131.0,-6370107905.96,0.0,0.33,0.13
PGATNPPZMFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,32060.0,32060.0,7.02,8.15,1,2025-01-27,2025-04-11,ADM,Overrun,4566.95,3933.74,1646.79,0.64,0.63,0.0
PGAUIPZ2MFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,81525.0,124725.0,20.31,31.31,3,2023-09-01,2025-08-31,ADM,Underrun,4014.03,3983.55,-6210.76,0.232,0.565,0.05
PGCDSHSPEAISDLY,ABBMST,EAS,COREMFG,Non Maintenance,FP,13000.0,13000.0,3.03,3.03,1,2025-01-01,2025-04-30,EAS,Underrun,4290.43,4290.43,-0.07,0.734,0.734,0.0
PGDXTUBLDX,ABBMST,DX,COREMFG,Non Maintenance,FP,257000.0,257000.0,49.9,17.34,8,2025-02-01,2025-07-31,DX,Underrun,5150.3,14821.22,-69136.88,0.584,0.811,0.06
PGIPHSTPEAISDLY,ABBMST,EAS,COREMFG,Non Maintenance,FP,13000.0,13000.0,4.27,3.26,1,2024-09-15,2025-06-10,EAS,Underrun,3044.5,3987.73,-1196.75,0.68,0.701,0.0
PGRHEHWKIQE,ABBMST,IQE,COREMFG,Non Maintenance,FP,453000.0,453000.0,0.37,0.24,1,2022-03-01,2027-02-24,IQE,Underrun,1224324.32,1887500.0,-109.41,0.345,0.152,0.0
PGSPBPPUMFGADM,ABBMST,ADM,COREMFG,Non Maintenance,FP,73593.0,40576.5,17.98,13.19,3,2024-05-20,2025-05-31,ADM,Overrun,4093.05,3076.31,1540.05,0.844,0.845,0.0
PTOPBINTIQE,INTELMST,IQE,CMT,Non Maintenance,FP,243936.0,243936.0,72.0,75.0,12,2025-01-01,2025-12-31,IQE,Overrun,3388.0,3252.48,3457.93,0.638,0.649,0.0
RESNDSTPCMTADM,GLOBALFO,ADM,CMT,Non Maintenance,FP,1462308.41,1517220.41,342.77,307.56,57,2021-09-01,2026-06-13,ADM,Underrun,4266.15,4933.09,-78561.62,0.644,0.666,0.0
RESNDSTPDNA,GLOBALFO,DNA,CMT,Non Maintenance,FP,344000.0,344000.0,90.92,90.92,15,2021-09-01,2026-06-13,DNA,Underrun,3783.55,3783.55,0.0,0.676,0.676,0.0
RESNDSTPECASDLY,GLOBALFO,EAS,CMT,Non Maintenance,FP,1069544.0,1069544.0,205.84,151.84,34,2021-09-01,2026-06-13,EAS,Underrun,5196.0,7043.89,-117854.6,0.63,0.686,0.0
RESNDSTPORCDLY,GLOBALFO,EAS,CMT,Non Maintenance,FP,2617072.59,2562160.59,538.06,325.1,90,2021-09-01,2026-06-13,EAS,Underrun,4863.9,7881.15,-340637.27,0.596,0.684,0.06
RICS4JAIEAISDLY,RICHPROD,EAS,CRL,Non Maintenance,FP,1159993.27,1159993.27,214.62,233.73,36,2023-09-01,2026-06-30,EAS,Overrun,5404.87,4962.96,49555.81,0.59,0.623,0.1
RICS4JAIESAP,RICHPROD,EAS,CRL,Non Maintenance,FP,24446038.73,28591462.73,2823.0,3886.76,470,2023-09-01,2026-06-30,EAS,Underrun,8659.6,7356.12,-965927.36,0.358,0.455,0.22
RICS4JAIIGC,RICHPROD,IGC,CRL,Non Maintenance,FP,10672968.0,14669548.0,309.32,969.96,52,2023-09-01,2026-06-30,IGC,Overrun,34504.62,15123.87,5938448.98,0.465,,0.93
RICS4JAIIQE,RICHPROD,IQE,CRL,Non Maintenance,FP,0.0,1628592.0,0.0,530.55,1,2023-09-01,2026-06-30,IQE,Overrun,,3069.63,770211.42,0.0,0.521,
RPIPLPD5DNA,RICHPROD,DNA,CRL,Non Maintenance,FP,1452000.0,1452000.0,0.37,0.34,1,2024-12-30,2027-12-29,DNA,Overrun,3924324.32,4270588.24,48.8,1.0,0.443,0.0
RPIPLPD5EDGE,RICHPROD,EDGE,CRL,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2024-12-30,2027-12-29,EDGE,Underrun,,,0.0,0.0,0.0,
S4EAMSTPESAP,SEGAMMST,EAS,COREMFG,Maintenance,FP,1618009.18,1663938.17,474.51,476.05,79,2023-09-01,2026-09-30,EAS,Overrun,3409.85,3495.3,123933.53,0.499,0.494,0.02
SCEBBSR1CIS,SCEDISON,CIS,SURE,Non Maintenance,FP,2912.0,2912.0,0.13,0.13,1,2024-11-01,2025-04-23,CIS,Underrun,22400.0,22400.0,-0.0,0.479,0.479,1.0
SCEBBSR1SUREADM,SCEDISON,ADM,SURE,Non Maintenance,FP,86688.0,86688.0,3.87,3.87,1,2024-11-01,2025-04-23,ADM,Overrun,22400.0,22400.0,1.71,0.464,0.468,1.0
SCEBDXBLDX,SCEDISON,DX,SURE,Non Maintenance,FP,131020.0,213740.13,17.36,37.0,3,2024-09-03,2025-09-12,DX,Overrun,7547.24,5776.76,33516.15,0.545,0.329,0.23
SCEBDXBLEAISDLY,SCEDISON,EAS,SURE,Non Maintenance,FP,37362.0,66474.24,4.9,7.19,1,2024-09-03,2025-09-12,EAS,Underrun,7624.9,9245.37,-5573.32,0.519,0.682,0.27
SCEBDXBLESAP,SCEDISON,EAS,SURE,Non Maintenance,FP,47908.0,416249.57,5.93,37.28,1,2024-09-03,2025-09-12,EAS,Underrun,8078.92,11165.49,-54337.33,0.487,0.638,0.29
SCEBDXBLIQE,SCEDISON,IQE,SURE,Non Maintenance,FP,77598.0,129750.06,13.41,19.86,2,2024-09-03,2025-09-12,IQE,Underrun,5786.58,6533.24,-7882.56,0.528,0.632,0.23
SCEDTDGMIGC,SCEDISON,IGC,SURE,Non Maintenance,FP,939545.0,939545.0,19.57,19.53,3,2025-02-01,2025-11-15,IGC,Underrun,48009.45,48107.78,-637.75,0.333,0.367,1.0
SCEDTDGMSUREADM,SCEDISON,ADM,SURE,Non Maintenance,FP,586680.0,586680.0,17.25,17.35,3,2025-02-01,2025-11-15,ADM,Overrun,34010.43,33814.41,1599.88,0.315,0.378,1.0
SCEIDXBPDX,SCEDISON,DX,SURE,Non Maintenance,FP,194036.0,205481.06,26.21,34.5,4,2024-08-22,2025-04-18,DX,Overrun,7403.13,5955.97,31079.15,0.514,0.386,0.22
SCEIDXBPEAISDLY,SCEDISON,EAS,SURE,Non Maintenance,FP,24800.34,35710.09,4.77,5.57,1,2024-08-22,2025-04-18,EAS,Underrun,5199.23,6411.15,-3265.12,0.623,0.758,0.14
SCEIDXBPESAP,SCEDISON,EAS,SURE,Non Maintenance,FP,98000.82,127291.64,14.8,18.75,2,2024-08-22,2025-04-18,EAS,Underrun,6621.68,6788.89,-4416.38,0.483,0.328,0.19
SCEIDXBPIQE,SCEDISON,IQE,SURE,Non Maintenance,FP,112188.24,111555.61,17.13,17.72,3,2024-08-22,2025-04-18,IQE,Underrun,6549.23,6295.46,-102.93,0.558,0.575,0.22
SCEIDXBPSUREADM,SCEDISON,ADM,SURE,Non Maintenance,FP,39119.6,66022.6,1.5,1.45,1,2024-08-22,2025-04-18,ADM,Underrun,26079.73,45532.83,-12697.45,0.472,0.622,0.67
SCEPDXBLDX,SCEDISON,DX,SURE,Non Maintenance,FP,307539.0,307538.09,44.31,44.31,7,2024-09-03,2025-06-23,DX,Underrun,6940.62,6940.6,-16769.07,0.547,0.584,0.16
SCEPDXBLEAISDLY,SCEDISON,EAS,SURE,Non Maintenance,FP,43845.0,43845.11,5.66,5.66,1,2024-09-03,2025-06-23,EAS,Overrun,7746.47,7746.49,158.72,0.593,0.678,0.22
SCEPDXBLESAP,SCEDISON,EAS,SURE,Non Maintenance,FP,201077.0,201077.57,27.34,27.34,5,2024-09-03,2025-06-23,EAS,Underrun,7354.68,7354.7,-10641.7,0.466,0.5,0.25
SCEPDXBLIQE,SCEDISON,IQE,SURE,Non Maintenance,FP,220307.0,220307.36,43.63,43.63,7,2024-09-03,2025-06-23,IQE,Underrun,5049.44,5049.45,-1186.25,0.56,0.621,0.15
SCEPDXBLSUREADM,SCEDISON,ADM,SURE,Non Maintenance,FP,104220.0,104219.87,4.05,4.05,1,2024-09-03,2025-06-23,ADM,Overrun,25733.33,25733.3,2.43,0.459,0.434,0.68
SCERSFBIBPOSERV,SCEDISON,BPOSERV,SURE,Maintenance,FP,399045.0,399045.0,192.97,208.18,32,2025-01-06,2025-04-08,BPOSERV,Overrun,2067.91,1916.83,8594.04,0.694,0.668,0.0
SCMMDXBLDX,SCEDISON,DX,SURE,Non Maintenance,FP,122038.87,141820.7,29.74,34.2,5,2024-11-01,2025-07-04,DX,Overrun,4103.53,4146.8,7177.38,0.304,0.251,0.2
SCMMDXBLESAP,SCEDISON,EAS,SURE,Non Maintenance,FP,19694.2,19698.09,2.81,2.78,1,2024-11-01,2025-07-04,EAS,Underrun,7008.61,7085.64,-128.42,0.455,0.427,0.23
SCMMDXBLIQE,SCEDISON,IQE,SURE,Non Maintenance,FP,62001.03,73412.21,15.32,18.43,3,2024-11-01,2025-07-04,IQE,Underrun,4047.06,3983.3,-564.27,0.584,0.497,0.08
SCMMDXBLSUREADM,SCEDISON,ADM,SURE,Non Maintenance,FP,18245.57,18252.0,0.5,0.52,1,2024-11-01,2025-07-04,ADM,Overrun,36491.14,35100.0,134.41,0.376,0.37,1.0
SE24SMMFGADM,SEGAMMST,ADM,COREMFG,Non Maintenance,FP,142725.0,1122127.2,35.86,271.89,6,2023-11-01,2027-09-30,ADM,Underrun,3980.06,4127.14,-14323.23,0.651,0.619,0.0
SE4ROSTPBPOSERV,SEGAMMST,BPOSERV,COREMFG,Non Maintenance,FP,0.0,86688.24,1.0,9.46,1,2024-06-01,2027-12-31,BPOSERV,Underrun,0.0,9163.66,-593384.67,0.0,0.799,0.0
SE4ROSTPEAISDLY,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,0.0,398453.63,38.03,37.8,6,2024-06-01,2027-12-31,EAS,Underrun,0.0,10541.1,-28090960.07,0.0,0.45,0.55
SE4ROSTPESAP,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,26157425.8,22477975.52,2663.42,2590.39,444,2024-06-01,2027-12-31,EAS,Overrun,9820.99,8677.45,239297.65,0.57,0.604,0.28
SE4ROSTPIGC,SEGAMMST,IGC,COREMFG,Non Maintenance,FP,0.0,3912262.72,41.48,111.1,7,2024-06-01,2027-12-31,IGC,Underrun,0.0,35213.89,-25337022.28,0.0,0.474,1.0
SE4ROSTPIQE,SEGAMMST,IQE,COREMFG,Non Maintenance,FP,0.0,2008661.21,358.31,264.5,60,2024-06-01,2027-12-31,IQE,Underrun,0.0,7594.18,-371617826.83,0.0,0.652,0.23
SEDBCMBPCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,700168.65,700168.65,133.88,191.91,22,2024-11-06,2025-07-31,CIS,Overrun,5229.82,3648.42,122855.74,0.614,0.487,0.05
SEECCCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,3286067.97,2921015.73,635.35,647.29,106,2023-10-01,2025-04-30,CIS,Overrun,5172.06,4512.68,74664.84,0.837,0.666,0.04
SEECCMFGADM,SEGAMMST,ADM,COREMFG,Non Maintenance,FP,59636.1,239615.92,2.76,55.73,1,2023-10-01,2025-04-30,ADM,Overrun,21607.28,4299.59,156320.66,0.836,0.185,0.0
SEGAPBAUBPOSERV,SEGAMMST,BPOSERV,COREMFG,Maintenance,FP,0.0,0.0,19.65,19.65,3,2021-01-01,2025-09-30,BPOSERV,Underrun,0.0,0.0,0.0,0.0,0.0,0.0
SEGAPBAUBPOTSO,SEGAMMST,BPOTSO,COREMFG,Maintenance,FP,58050.93,58050.93,0.0,0.0,1,2021-01-01,2025-09-30,BPOTSO,Underrun,,,0.0,1.0,1.0,
SEGAPBAUCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,1264413.8,1264413.8,596.86,668.54,99,2021-01-01,2025-09-30,CIS,Overrun,2118.44,1891.31,236219.02,-0.417,,0.17
SEGCOSTDNA,SEGAMMST,DNA,COREMFG,Non Maintenance,FP,93579.29,93579.29,20.0,19.14,3,2025-01-20,2026-09-30,DNA,Underrun,4678.96,4889.2,-1234.35,0.687,0.705,0.0
SEIRMIBPCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,393291.0,513547.66,19.14,15.69,3,2024-09-01,2025-08-31,CIS,Underrun,20548.12,32730.89,-87328.86,0.733,0.5,1.0
SEMSTMI5BPOSERV,SEGAMMST,BPOSERV,COREMFG,Non Maintenance,FP,0.0,0.0,4.65,2.0,1,2024-07-01,2026-09-30,BPOSERV,Underrun,0.0,0.0,-1900.25,0.0,0.0,0.0
SEMSTMI5BPOTSO,SEGAMMST,BPOTSO,COREMFG,Non Maintenance,FP,7478.33,7478.33,0.0,0.0,1,2024-07-01,2026-09-30,BPOTSO,Underrun,,,0.0,1.0,1.0,
SEMSTMI5ENGNCMT,SEGAMMST,ENG,COREMFG,Non Maintenance,FP,295388.8,295388.8,25.96,28.96,4,2024-07-01,2026-09-30,ENG,Overrun,11378.61,10199.89,7350.74,0.904,0.892,0.0
SEMSTMI5MICROSFT,SEGAMMST,MICROSFT,COREMFG,Non Maintenance,FP,5935688.47,6602703.01,656.84,745.21,109,2024-07-01,2026-09-30,MICROSFT,Underrun,9036.73,8860.19,-151842.4,0.36,0.513,0.06
SEOSSBRZCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,368227.0,368226.65,118.0,116.37,20,2023-11-01,2028-09-30,CIS,Underrun,3120.57,3164.27,-3536.94,0.266,0.289,1.0
SEOSSGERCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,6519290.0,6519290.05,0.55,0.43,1,2023-11-01,2028-09-30,CIS,Underrun,11853254.55,15161139.65,-51.71,0.041,0.069,0.0
SEOSSSWDCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,2683124.0,2683124.38,0.59,0.47,1,2023-11-01,2029-01-31,CIS,Underrun,4547667.8,5708775.28,-167.52,0.137,0.144,0.0
SEOSSUKKCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,718956.0,1070046.75,0.55,0.48,1,2024-01-01,2029-02-28,CIS,Underrun,1307192.73,2229264.06,-175.88,0.105,0.12,0.0
SEOSSUSACIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,3297003.0,3279602.49,0.55,127.68,1,2023-11-01,2028-09-30,CIS,Overrun,5994550.91,25686.11,1415841.51,0.257,,0.0
SESDLCHYCHINA,SEGAMMST,CHINA,COREMFG,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2024-10-01,2025-11-30,CHINA,Underrun,,,0.0,0.0,0.0,
SESDLCHYCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,126701.38,126701.38,11.0,11.0,2,2024-10-01,2025-11-30,CIS,Underrun,11518.31,11518.31,-0.0,0.769,0.674,1.0
SESOCPSZCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,212421.11,1585674.58,581.46,429.76,97,2023-08-01,2028-09-30,CIS,Underrun,365.32,3689.67,-2065889.47,-0.455,0.874,0.0
SESOCPSZSEC,SEGAMMST,SEC,COREMFG,Maintenance,FP,13705458.6,18439615.39,1576.62,2242.8,263,2023-08-01,2028-09-30,SEC,Overrun,8692.94,8221.69,112663.53,0.68,0.741,0.0
SEUFBTPSCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,674902.79,674902.79,126.0,205.96,21,2024-12-01,2025-08-15,CIS,Overrun,5356.37,3276.86,142695.45,0.627,0.511,0.05
SG0INDFPCIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,486323.57,568771.67,8.91,15.49,1,2022-07-01,2026-03-31,CIS,Overrun,54581.77,36718.64,34460.43,0.955,0.905,0.0
SG0INDFPENGNCMT,SEGAMMST,ENG,COREMFG,Non Maintenance,FP,685.05,685.26,6.17,6.17,1,2022-07-01,2026-03-31,ENG,Underrun,111.03,111.06,-0.42,-2.354,,0.0
SG0INDFPSEC,SEGAMMST,SEC,COREMFG,Non Maintenance,FP,0.0,0.0,0.98,2.1,1,2022-07-01,2026-03-31,SEC,Overrun,0.0,0.0,68.85,0.0,0.0,0.0
SG0SDPZ3BPOSERV,SEGAMMST,BPOSERV,COREMFG,Maintenance,FP,436317.24,436317.24,220.22,219.98,37,2019-06-01,2026-03-31,BPOSERV,Overrun,1981.28,1983.44,4270.93,0.251,0.098,0.99
SG0SDPZ3CIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,0.0,0.0,0.0,0.0,1,2019-06-01,2026-03-31,CIS,Underrun,,,0.0,0.0,1.0,
SG0TSPZ3BPOSERV,SEGAMMST,BPOSERV,COREMFG,Maintenance,FP,0.0,0.0,9.72,9.72,2,2019-06-01,2026-04-30,BPOSERV,Underrun,0.0,0.0,0.0,0.0,0.0,0.0
SG0TSPZ3BPOTSO,SEGAMMST,BPOTSO,COREMFG,Maintenance,FP,35957.39,35957.39,0.0,0.0,1,2019-06-01,2026-04-30,BPOTSO,Underrun,,,0.0,1.0,1.0,
SG0TSPZ3CHINA,SEGAMMST,CHINA,COREMFG,Maintenance,FP,35616.51,35616.51,4.19,4.19,1,2019-06-01,2026-04-30,CHINA,Overrun,8500.36,8500.36,0.0,0.472,0.472,1.0
SG0TSPZ3CIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,1588137.36,1588137.36,508.1,507.98,85,2019-06-01,2026-04-30,CIS,Underrun,3125.64,3126.38,-103.25,-0.45,,0.25
SG0TSPZ3DX,SEGAMMST,DX,COREMFG,Maintenance,FP,76848.32,76848.32,52.39,52.39,9,2019-06-01,2026-04-30,DX,Overrun,1466.85,1466.85,0.0,0.219,0.219,0.07
SG0TSPZ3ENGNCMT,SEGAMMST,ENG,COREMFG,Maintenance,FP,208212.89,208212.89,48.26,48.26,8,2019-06-01,2026-04-30,ENG,Overrun,4314.4,4314.4,0.0,0.418,0.418,0.26
SG0TSPZ3MICROSFT,SEGAMMST,MICROSFT,COREMFG,Maintenance,FP,194758.04,194758.04,51.16,51.16,9,2019-06-01,2026-04-30,MICROSFT,Underrun,3806.84,3806.84,-0.0,0.682,0.682,0.05
SG0TSPZ3SEC,SEGAMMST,SEC,COREMFG,Maintenance,FP,179719.35,179719.35,30.26,30.26,5,2019-06-01,2026-04-30,SEC,Underrun,5939.17,5939.17,-0.0,-5.167,,0.1
SG4DXBSTDX,SEGAMMST,DX,COREMFG,Non Maintenance,FP,339733.36,389091.73,65.14,220.84,11,2024-02-05,2025-04-23,DX,Overrun,5215.43,1761.87,177452.3,0.759,0.3,0.0
SG5DXHSTDX,SEGAMMST,DX,COREMFG,Maintenance,FP,187584.23,187584.23,46.8,46.58,8,2024-12-11,2026-03-31,DX,Underrun,4008.21,4027.14,-319.35,0.693,0.695,0.0
SGAMLSSTESAP,SEGAMMST,EAS,COREMFG,Maintenance,FP,1256178.0,3127243.25,240.66,338.96,40,2020-11-01,2025-09-30,EAS,Underrun,5219.72,9225.99,-346676.22,0.76,0.863,0.03
SGAMSTSTCIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,0.0,0.0,0.0,0.0,1,2020-11-01,2025-09-30,CIS,Underrun,,,0.0,0.0,0.0,
SGAMSTSTESAP,SEGAMMST,EAS,COREMFG,Maintenance,FP,3650646.29,3611933.56,804.28,826.8,134,2020-11-01,2025-09-30,EAS,Overrun,4539.02,4368.57,140845.67,0.637,0.612,0.02
SGAPR1STESAP,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,103753.7,103753.7,20.01,20.0,3,2024-09-01,2025-09-30,EAS,Overrun,5185.09,5187.68,9888.07,0.692,0.616,0.0
SGAROLSTBPOSERV,SEGAMMST,BPOSERV,COREMFG,Non Maintenance,FP,0.0,0.0,32.1,39.1,5,2020-11-01,2025-08-19,BPOSERV,Overrun,0.0,0.0,88555.59,0.0,0.0,0.87
SGAROLSTBPOTSO,SEGAMMST,BPOTSO,COREMFG,Non Maintenance,FP,385612.01,644962.75,0.0,0.0,1,2020-11-01,2025-08-19,BPOTSO,Underrun,,,0.0,1.0,1.0,
SGAROLSTDNA,SEGAMMST,DNA,COREMFG,Non Maintenance,FP,96857.04,96857.04,1.0,1.0,1,2020-11-01,2025-08-19,DNA,Underrun,96857.04,96857.04,-0.0,0.993,0.993,0.0
SGAROLSTEAISDLY,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,312852.32,337029.32,67.58,75.55,11,2020-11-01,2025-08-19,EAS,Overrun,4629.36,4461.01,1723.42,0.854,0.853,0.0
SGAROLSTESAP,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,30084622.86,30812019.51,5976.56,6256.81,996,2020-11-01,2025-08-19,EAS,Overrun,5033.77,4924.56,954372.52,0.376,0.353,0.16
SGAROLSTIGC,SEGAMMST,IGC,COREMFG,Non Maintenance,FP,1066646.25,1173418.09,66.62,66.62,11,2020-11-01,2025-08-19,IGC,Underrun,16010.9,17613.6,-43792.27,0.582,0.62,0.64
SGAROLSTINDIA,SEGAMMST,INDIA,COREMFG,Non Maintenance,FP,186350.99,186350.99,58.36,58.36,10,2020-11-01,2025-08-19,INDIA,Underrun,3193.13,3193.13,-0.0,0.484,0.484,0.0
SGAROLSTIQE,SEGAMMST,IQE,COREMFG,Non Maintenance,FP,92632.21,181303.18,20.54,31.71,3,2020-11-01,2025-08-19,IQE,Underrun,4509.84,5717.54,-12531.04,0.667,0.739,0.0
SGAYUIDSESAP,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,323271.0,323270.6,46.01,45.08,8,2024-01-01,2026-11-30,EAS,Underrun,7026.1,7171.04,-2294.75,0.736,0.766,0.0
SGAYUSTPEAISDLY,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2022-08-16,2026-12-11,EAS,Underrun,,,0.0,0.0,0.0,
SGAYUSTPESAP,SEGAMMST,EAS,COREMFG,Non Maintenance,FP,5393512.27,7780932.4,915.92,1406.29,153,2022-08-16,2026-12-11,EAS,Overrun,5888.63,5532.95,100035.65,0.53,0.536,0.09
SGCASZ2BPOSERV,SEGAMMST,BPOSERV,COREMFG,Maintenance,FP,38792.47,77584.94,12.37,24.37,2,2023-04-01,2026-09-30,BPOSERV,Underrun,3136.01,3183.63,-86.54,0.785,0.785,0.0
SGCASZ2MFGADM,SEGAMMST,ADM,COREMFG,Maintenance,FP,290791.59,537912.57,126.42,225.94,21,2023-04-01,2026-09-30,ADM,Underrun,2300.2,2380.78,-4703.94,0.745,0.788,0.0
SGCASZ2MICROSFT,SEGAMMST,MICROSFT,COREMFG,Maintenance,FP,43240.67,43240.67,9.35,9.35,2,2023-04-01,2026-09-30,MICROSFT,Underrun,4624.67,4624.67,-0.2,0.902,0.905,0.0
SGERPBASDNA,SEGAMMST,DNA,COREMFG,Maintenance,FP,329085.0,431277.41,134.1,164.82,22,2021-07-01,2025-09-30,DNA,Underrun,2454.03,2616.66,-11883.02,0.572,0.58,0.0
SGMSSPZ2CIS,SEGAMMST,CIS,COREMFG,Maintenance,FP,8411.5,8411.5,2.54,2.54,1,2021-11-01,2026-09-30,CIS,Underrun,3311.61,3311.61,-0.0,0.774,0.774,0.0
SGMSSPZ2SEC,SEGAMMST,SEC,COREMFG,Maintenance,FP,5296067.53,5080545.18,985.85,1201.26,164,2021-11-01,2026-09-30,SEC,Overrun,5372.08,4229.35,249649.43,0.508,0.513,0.02
SGOTRPZ3BPOSERV,SEGAMMST,BPOSERV,COREMFG,Non Maintenance,FP,0.0,0.0,28.9,28.9,5,2019-05-01,2026-08-31,BPOSERV,Underrun,0.0,0.0,0.0,0.0,0.0,0.0
SGOTRPZ3BPOTSO,SEGAMMST,BPOTSO,COREMFG,Non Maintenance,FP,108691.29,108691.29,0.0,0.0,1,2019-05-01,2026-08-31,BPOTSO,Underrun,,,0.0,1.0,1.0,
SGOTRPZ3CHINA,SEGAMMST,CHINA,COREMFG,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2019-05-01,2026-08-31,CHINA,Underrun,,,0.0,0.0,0.0,
SGOTRPZ3CIS,SEGAMMST,CIS,COREMFG,Non Maintenance,FP,28979959.23,28979959.23,1928.28,1928.16,321,2019-05-01,2026-08-31,CIS,Overrun,15028.92,15029.85,70796.87,0.507,0.498,0.3
SGOTRPZ3DNA,SEGAMMST,DNA,COREMFG,Non Maintenance,FP,0.0,0.0,0.0,0.0,1,2019-05-01,2026-08-31,DNA,Underrun,,,0.0,0.0,0.0,
